species,countryCode,Longitude,Latitude,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species2,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode2,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
Acianthera johnsonii,CR,-84,"10,052025",45817883,848182d0-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera johnsonii,,SPECIES,Pleurothallis johnsonii Ames,Pleurothallis johnsonii,Pleurothallis johnsonii  Ames,CR,P.N. Braulio Carrillo Zurquí Station; Along Sendero Natural.,San José,PRESENT,,036cdc50-e7f5-11d9-9a0e-b8a03c50a862,10.05,-84,,,1680,0,,,22/09/1990,22,9,1990,2839901,2839899,PRESERVED_SPECIMEN,Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),148371,,"Serrano, Emily",,CC_BY_4_0,,Stephen Ingram,,,2025-02-16T15:36:08.924Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera lojae,CR,"-84,06","10,46",45817904,848182d0-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera lojae,,SPECIES,Pleurothallis lojae Schltr.,Pleurothallis lojae,Pleurothallis lojae  Schltr.,CR,"Cerro Sardinal, ca. 2.5 km N of Chilamate",Heredia,PRESENT,,036cdc50-e7f5-11d9-9a0e-b8a03c50a862,10.46,-84.06,,,130,0,,,21/01/1986,21,1,1986,2839654,2839652,PRESERVED_SPECIMEN,Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),149291,,"Quesada, Alonso",,CC_BY_4_0,,"Grayum, Michael",,,2025-02-16T15:36:09.120Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera sicaria,CR,"-84,8","10,032025",45817913,848182d0-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera sicaria,,SPECIES,Pleurothallis sicaria Lindl.,Pleurothallis sicaria,Pleurothallis sicaria  Lindl.,CR,"Monteverde, in pastures of cloud forest owned by Campbell family.",Puntarenas,PRESENT,,036cdc50-e7f5-11d9-9a0e-b8a03c50a862,10.3,-84.8,,,1575,0,,,02/03/1989,2,3,1989,2839590,2839584,PRESERVED_SPECIMEN,Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),150633,,"Blanco, Mario",,CC_BY_4_0,,"Atwood, John T.",,,2025-02-16T15:36:09.121Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera verecunda,CR,"-84,03","10,43",45817963,848182d0-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera verecunda,,SPECIES,Pleurothallis verecunda Schltr.,Pleurothallis verecunda,Pleurothallis verecunda  schltr.,CR,"Finca La Selva, OTS Field Station near junction of Puerto Viejo and Sarapiquí rivers.On trail to river station.",Heredia,PRESENT,,036cdc50-e7f5-11d9-9a0e-b8a03c50a862,10.43,-84.03,,,50,0,,,26/03/1991,26,3,1991,2839909,2839908,PRESERVED_SPECIMEN,Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),154576,,richardson,,CC_BY_4_0,,Katherine Richardson,,,2025-02-16T15:36:09.121Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera pantasmi,CR,"-84,03","10,43",45817973,848182d0-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera pantasmi,,SPECIES,Pleurothallis pantasmi Rchb.f.,Pleurothallis pantasmi,Pleurothallis pantasmi  Rchb. f.,CR,"Finca La Selva, OTS Field Station near junction of Puerto Viejo and Sarapiquí rivers. In old Cacao plantation.",Heredia,PRESENT,,036cdc50-e7f5-11d9-9a0e-b8a03c50a862,10.43,-84.03,,,50,0,,,02/03/1991,2,3,1991,2839821,2839819,PRESERVED_SPECIMEN,Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),154603,,Richardson / Currah,,CC_BY_4_0,,Katherine Richardson,,,2025-02-16T15:36:08.924Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera pantasmi,CR,"-84,03","10,43",45817982,848182d0-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera pantasmi,,SPECIES,Pleurothallis pantasmi Rchb.f.,Pleurothallis pantasmi,Pleurothallis pantasmi  Rchb. f.,CR,"Finca La Selva, OTS Field Station near junction of Puerto Viejo and Sarapiquí rivers.  Sendero Sabalo - Esquina (SSE) 1200.",Heredia,PRESENT,,036cdc50-e7f5-11d9-9a0e-b8a03c50a862,10.43,-84.03,,,50,0,,,22/03/1991,22,3,1991,2839821,2839819,PRESERVED_SPECIMEN,Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),154814,,richardson,,CC_BY_4_0,,Katherine Richardson,,,2025-02-16T15:36:08.925Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera pantasmi,CR,"-84,03","10,43",45817992,848182d0-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera pantasmi,,SPECIES,Pleurothallis pantasmi Rchb.f.,Pleurothallis pantasmi,Pleurothallis pantasmi  Rchb. f.,CR,"Finca La Selva, OTS Field Station near junction of Puerto Viejo and Sarapiquí rivers.  Sendero Sura ( Sura ) 200.",Heredia,PRESENT,,036cdc50-e7f5-11d9-9a0e-b8a03c50a862,10.43,-84.03,,,50,0,,,24/04/1991,24,4,1991,2839821,2839819,PRESERVED_SPECIMEN,Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),154822,,richardson,,CC_BY_4_0,,Katherine Richardson,,,2025-02-16T15:36:09.273Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera sicaria,CR,"-84,36","10,26",45818205,848182d0-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera sicaria,,SPECIES,Pleurothallis sicaria Lindl.,Pleurothallis sicaria,Pleurothallis sicaria  Lindl.,CR,R. B. Monteverde Río Veracruz.,Puntarenas,PRESENT,,036cdc50-e7f5-11d9-9a0e-b8a03c50a862,10.26,-84.36,,,1300,0,,,04/05/1991,4,5,1991,2839590,2839584,PRESERVED_SPECIMEN,Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),170004,,"Atwood, John T.",,CC_BY_4_0,,"Bello, Erick",,,2025-02-16T15:36:09.122Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera sicaria,CR,"-84,13","9,71",45818376,848182d0-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera sicaria,,SPECIES,Pleurothallis sicaria Lindl.,Pleurothallis sicaria,Pleurothallis sicaria  Lindl.,CR,"Z.P. Caraigres Fila Bustamante, Fila El Alto, bosque secundario falda S camino viejo a Bijagual.",San José,PRESENT,,036cdc50-e7f5-11d9-9a0e-b8a03c50a862,9.71,-84.13,,,1950,0,,,03/02/1995,3,2,1995,2839590,2839584,PRESERVED_SPECIMEN,Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),195297,,"Morales, Juan Francisco",,CC_BY_4_0,,"Morales, Juan Francisco",,,2025-02-16T15:36:08.773Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
,CR,"-84,79","10,25",45818398,848182d0-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,,,GENUS,Acianthera Scheidw.,Pleurothallis cogniauxiana,Pleurothallis cogniauxiana  Schltr.,CR,Cordillera de Tilarán. San Luis; Río Veracruz. Monteverde.,Puntarenas,PRESENT,,036cdc50-e7f5-11d9-9a0e-b8a03c50a862,10.25,-84.79,,,1100,0,,,18/03/1994,18,3,1994,7848554,,PRESERVED_SPECIMEN,Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),199853,,"Morales, Juan Francisco",,CC_BY_4_0,,"Fuentes, Zobeida",,,2025-02-16T15:36:09.632Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
